ID,S_ID,Case Number,Description,District,Ward,FBI Code,Year
4676906,2,HM278933,HARASSMENT BY TELEPHONE,9.0,11.0,26,2003.0
4789749,3,HM402220,AGG CRIM SEX ABUSE FAM MEMBER,14.0,35.0,20,2004.0
4789765,4,HM402058,FINANCIAL ID THEFT: OVER $300,25.0,31.0,6,2004.0
4677901,5,HM275615,FINANCIAL ID THEFT:$300 &UNDER,22.0,34.0,6,2003.0
4838048,6,HM440266,FINANCIAL ID THEFT:$300 &UNDER,10.0,24.0,6,2004.0
4791194,7,HM403711,PREDATORY,5.0,9.0,2,2001.0
4679521,8,HM216293,OTHER WEAPONS VIOLATION,22.0,21.0,26,2003.0
4792195,9,HM405396,FROM BUILDING,18.0,42.0,6,2004.0
4680124,10,HM282389,FINANCIAL ID THEFT: OVER $300,11.0,24.0,6,2003.0
4682244,11,HM282286,FINANCIAL ID THEFT: OVER $300,22.0,21.0,6,2003.0
4795453,12,HM409822,FINANCIAL ID THEFT: OVER $300,20.0,48.0,6,2004.0
4684808,13,HM286351,FINANCIAL ID THEFT: OVER $300,8.0,13.0,6,2003.0
4800321,14,HM414182,FINANCIAL ID THEFT: OVER $300,4.0,7.0,6,2004.0
4686904,15,HM288497,FINANCIAL ID THEFT: OVER $300,9.0,11.0,6,2003.0
4687321,16,HM287080,FINANCIAL ID THEFT: OVER $300,8.0,15.0,6,2003.0
4688004,17,HM290677,FINANCIAL ID THEFT: OVER $300,14.0,26.0,6,2003.0
4803028,18,HM414773,SEX ASSLT OF CHILD BY FAM MBR,8.0,13.0,2,2001.0
4803606,19,HM417252,FINANCIAL ID THEFT: OVER $300,9.0,12.0,6,2001.0
4808626,20,HM413308,PREDATORY,14.0,26.0,2,2002.0
4809221,21,HM423298,AGG SEX ASSLT OF CHILD FAM MBR,7.0,15.0,2,2001.0
4809407,22,HM423503,FINANCIAL ID THEFT: OVER $300,1.0,42.0,6,2004.0
4695836,23,HM294072,AUTOMOBILE,7.0,15.0,7,2003.0
4696148,24,HM300702,FINANCIAL ID THEFT: OVER $300,8.0,18.0,6,2003.0
4696401,25,HM301419,OVER $500,16.0,41.0,6,2003.0
4811727,26,HM402010,CRIMINAL SEXUAL ABUSE,15.0,37.0,17,2001.0
4699493,27,HM302756,FINANCIAL ID THEFT: OVER $300,3.0,5.0,6,2003.0
4815217,28,HM417727,FRAUD OR CONFIDENCE GAME,3.0,5.0,11,2004.0
4815972,29,HM424376,FINANCIAL ID THEFT:$300 &UNDER,25.0,30.0,6,2004.0
4817129,30,HM424203,HARASSMENT BY TELEPHONE,6.0,8.0,26,2004.0
4817811,31,HM425763,FRAUD OR CONFIDENCE GAME,4.0,8.0,11,2004.0
4706080,32,HM306283,FINANCIAL ID THEFT:$300 &UNDER,1.0,2.0,6,2003.0
4821866,33,HM434610,FINANCIAL ID THEFT: OVER $300,14.0,26.0,6,2001.0
4822001,34,HM431335,FINANCIAL ID THEFT: OVER $300,7.0,6.0,6,2001.0
4708622,35,HM312347,FINANCIAL ID THEFT: OVER $300,10.0,22.0,6,2003.0
4709062,36,HM313501,FINANCIAL ID THEFT: OVER $300,2.0,20.0,6,2003.0
4709502,37,HM314530,FINANCIAL ID THEFT: OVER $300,25.0,31.0,6,2003.0
4710526,38,HM274261,FINANCIAL ID THEFT:$300 &UNDER,15.0,28.0,6,2003.0
