secondarykey,Index Value
2001.0,1276821
2001.0,1690528
2001.0,1690594
2001.0,1690637
2001.0,1690679
2001.0,1690735
2001.0,1690799
2001.0,1690850
2001.0,1690896
2001.0,1690946
2001.0,1690479
2001.0,1690991
2001.0,1691090
2001.0,1691157
2001.0,1691200
2001.0,1691256
2001.0,1691299
2001.0,1691346
2001.0,1691399
2001.0,1691454
2001.0,1691500
2001.0,1691038
2001.0,1691545
2001.0,1690420
2001.0,1690325
2001.0,1689331
2001.0,1689389
2001.0,1689431
2001.0,1689479
2001.0,1689527
2001.0,1689570
2001.0,1689617
2001.0,1689683
2001.0,1689725
2001.0,1690372
2001.0,1689774
2001.0,1689875
2001.0,1689918
2001.0,1689974
2001.0,1690016
2001.0,1690058
2001.0,1690107
2001.0,1690149
2001.0,1690212
2001.0,1690260
2001.0,1689822
2001.0,1691587
2001.0,1691652
2001.0,1691703
2001.0,1693031
2001.0,1693080
2001.0,1693125
2001.0,1693174
2001.0,1693236
2001.0,1693288
2001.0,1693345
2001.0,1693401
2001.0,1693453
2001.0,1692989
2001.0,1693499
2001.0,1693584
2001.0,1693626
2001.0,1693672
2001.0,1693721
2001.0,1693786
2001.0,1693832
2001.0,1693892
2001.0,1693947
2001.0,1694013
2001.0,1693542
2001.0,1692926
2001.0,1692861
2001.0,1692796
2001.0,1691759
2001.0,1691801
2001.0,1691865
2001.0,1691929
2001.0,1691972
2001.0,1692014
2001.0,1692063
2001.0,1692127
2001.0,1692169
2001.0,1692214
2001.0,1692276
2001.0,1692325
2001.0,1692374
2001.0,1692421
2001.0,1692464
2001.0,1692513
2001.0,1692561
2001.0,1692610
2001.0,1692653
2001.0,1692699
2001.0,1692745
2001.0,1689265
2001.0,1689219
2001.0,1689172
2001.0,1689099
2001.0,1685723
2001.0,1685767
2001.0,1685813
2001.0,1685855
2001.0,1685901
2001.0,1685958
2001.0,1686000
2001.0,1686049
2001.0,1686109
2001.0,1685663
2001.0,1686169
2001.0,1686261
2001.0,1686320
2001.0,1686366
2001.0,1686414
2001.0,1686463
2001.0,1686527
2001.0,1686585
2001.0,1686634
2001.0,1686681
2001.0,1686212
2001.0,1685620
2001.0,1685572
2001.0,1685529
2001.0,1684471
2001.0,1684538
2001.0,1684582
2001.0,1684629
2001.0,1684672
2001.0,1684714
2001.0,1684756
2001.0,1684821
2001.0,1684863
2001.0,1684909
2001.0,1684956
2001.0,1685004
2001.0,1685069
2001.0,1685111
2001.0,1685167
2001.0,1685216
2001.0,1685265
2001.0,1685314
2001.0,1685370
2001.0,1685418
2001.0,1685481
2001.0,1686746
2001.0,1694055
2001.0,1686791
2001.0,1686879
2001.0,1688114
2001.0,1688162
2001.0,1688205
2001.0,1688271
2001.0,1688313
2001.0,1688362
2001.0,1688426
2001.0,1688469
2001.0,1688516
2001.0,1688060
2001.0,1688559
2001.0,1688650
2001.0,1688709
2001.0,1688755
2001.0,1688798
2001.0,1688849
2001.0,1688895
2001.0,1688961
2001.0,1689009
2001.0,1689057
2001.0,1688602
2001.0,1688016
2001.0,1687974
2001.0,1687932
2001.0,1686925
2001.0,1686969
2001.0,1687017
2001.0,1687064
2001.0,1687112
2001.0,1687155
2001.0,1687197
2001.0,1687243
2001.0,1687298
2001.0,1687341
2001.0,1687407
2001.0,1687462
2001.0,1687507
2001.0,1687550
2001.0,1687592
2001.0,1687636
2001.0,1687678
2001.0,1687720
2001.0,1687784
2001.0,1687832
2001.0,1687877
2001.0,1686833
2001.0,1684419
2001.0,1694103
2001.0,1694209
2001.0,1700332
2001.0,1700381
2001.0,1700423
2001.0,1700477
2001.0,1700525
2001.0,1700574
2001.0,1700620
2001.0,1700675
2001.0,1700717
2001.0,1700285
2001.0,1700760
2001.0,1700850
2001.0,1700894
2001.0,1700937
2001.0,1700984
2001.0,1701026
2001.0,1701068
2001.0,1701117
2001.0,1701161
2001.0,1701205
2001.0,1700803
2001.0,1701248
2001.0,1700236
2001.0,1700124
2001.0,1699182
2001.0,1699226
2001.0,1699269
2001.0,1699318
2001.0,1699369
2001.0,1699421
2001.0,1699483
2001.0,1699531
2001.0,1699580
2001.0,1700189
2001.0,1699629
2001.0,1699729
2001.0,1699772
2001.0,1699814
2001.0,1699859
2001.0,1699902
2001.0,1699948
2001.0,1699992
2001.0,1700035
2001.0,1700079
2001.0,1699687
2001.0,1701291
2001.0,1701349
2001.0,1701396
2001.0,1702713
2001.0,1702755
2001.0,1702804
2001.0,1702852
2001.0,1702907
2001.0,1702969
2001.0,1703012
2001.0,1703055
2001.0,1703101
2001.0,1702664
2001.0,1703143
2001.0,1703252
2001.0,1703295
2001.0,1703338
2001.0,1703387
2001.0,1703432
2001.0,1703474
2001.0,1703517
