PrimaryKey,Index Value
634.0,96738
635.0,97206
636.0,97543
637.0,98030
638.0,98798
639.0,99332
640.0,99936
641.0,100926
642.0,101487
643.0,102113
644.0,102769
645.0,103524
646.0,103985
647.0,104470
648.0,104939
649.0,105394
650.0,105707
651.0,106355
652.0,106947
653.0,107146
654.0,107453
655.0,108116
656.0,108316
657.0,108853
658.0,109102
659.0,109438
660.0,109783
661.0,109909
662.0,110306
663.0,110773
664.0,111212
665.0,111462
666.0,112189
667.0,112655
668.0,112983
669.0,113394
670.0,114081
671.0,114943
672.0,115947
673.0,116620
674.0,117381
675.0,117791
676.0,118569
677.0,119277
678.0,120046
679.0,120435
680.0,121318
681.0,121761
682.0,122306
683.0,123043
684.0,123454
685.0,123870
686.0,124339
687.0,125120
688.0,125895
689.0,126465
690.0,127005
691.0,127205
692.0,127741
693.0,128081
694.0,128259
695.0,128526
696.0,128905
697.0,129476
698.0,129847
699.0,130315
700.0,130593
701.0,131262
702.0,131650
703.0,131882
704.0,132229
705.0,132690
706.0,132961
707.0,133499
708.0,134031
709.0,134571
710.0,135306
711.0,136146
712.0,136596
713.0,137155
714.0,137602
715.0,138082
716.0,138824
717.0,139506
718.0,139967
719.0,140274
720.0,140673
721.0,141191
722.0,141370
723.0,142038
724.0,142589
725.0,142788
726.0,142915
727.0,143478
728.0,143677
729.0,144431
730.0,144778
731.0,145168
732.0,145568
733.0,145817
734.0,146235
735.0,146633
736.0,147237
737.0,147572
738.0,147970
739.0,148911
740.0,149296
741.0,149569
742.0,149958
743.0,150228
744.0,150812
745.0,151148
746.0,152033
747.0,152544
748.0,152819
749.0,153147
750.0,153466
751.0,153725
752.0,154070
753.0,154392
754.0,154591
755.0,155004
756.0,155399
757.0,155815
758.0,156403
759.0,156599
760.0,156869
761.0,157123
762.0,157467
763.0,157764
764.0,157892
765.0,158375
766.0,158652
767.0,159045
768.0,159372
769.0,159773
770.0,160107
771.0,160518
772.0,160648
773.0,160924
774.0,161319
775.0,161658
776.0,162002
777.0,162542
778.0,162859
779.0,162990
780.0,163552
781.0,164101
782.0,164352
783.0,164698
784.0,165046
785.0,165415
786.0,165678
787.0,166044
788.0,166574
789.0,166971
790.0,167100
791.0,167360
792.0,167884
793.0,168432
794.0,168952
795.0,169364
796.0,169879
797.0,170076
798.0,170529
799.0,170708
800.0,170967
801.0,171289
802.0,171627
803.0,172309
804.0,172975
805.0,173297
806.0,173475
807.0,173771
808.0,174237
809.0,174705
810.0,174978
811.0,175231
812.0,175797
813.0,175998
814.0,176242
815.0,176571
816.0,176825
817.0,177168
818.0,177683
819.0,177812
820.0,178185
821.0,178419
822.0,178959
823.0,179160
824.0,179218
825.0,179575
826.0,179772
827.0,180100
828.0,180370
829.0,180720
830.0,181135
831.0,181263
832.0,181555
833.0,182164
834.0,182554
835.0,182813
836.0,183015
837.0,183283
838.0,183605
839.0,183795
840.0,183994
841.0,184327
842.0,184454
843.0,184850
844.0,185297
845.0,185492
846.0,186180
847.0,186663
848.0,187059
849.0,187402
850.0,187679
851.0,188027
852.0,188159
853.0,188431
854.0,188630
855.0,188788
856.0,189059
857.0,189529
858.0,189653
859.0,189831
860.0,190103
861.0,190589
862.0,190721
863.0,190960
864.0,191014
865.0,191286
866.0,191671
867.0,192053
868.0,192110
869.0,192169
870.0,192358
871.0,192613
872.0,192918
873.0,193261
874.0,193505
875.0,193753
876.0,193884
877.0,194230
878.0,194418
879.0,194667
880.0,194780
881.0,194983
882.0,195258
883.0,195383
884.0,196032
885.0,196322
886.0,196670
887.0,196871
888.0,197264
889.0,197433
890.0,197987
891.0,198118
892.0,198294
893.0,198417
894.0,198616
895.0,198744
896.0,199012
897.0,199141
898.0,199338
899.0,199594
900.0,199840
901.0,200043
902.0,200226
903.0,200281
904.0,200536
905.0,200882
906.0,201008
907.0,201210
908.0,201265
909.0,201570
910.0,201988
911.0,202236
912.0,202433
913.0,202760
914.0,203012
915.0,203166
916.0,203276
917.0,203406
918.0,203751
919.0,203810
920.0,204111
921.0,204309
922.0,204507
923.0,204762
924.0,204889
925.0,205018
926.0,205272
927.0,205474
928.0,205722
929.0,205848
930.0,206028
931.0,206370
932.0,206495
933.0,206698
934.0,207109
935.0,207381
936.0,207577
937.0,207634
938.0,207792
939.0,207995
940.0,208052
941.0,208228
942.0,208359
943.0,208733
944.0,209005
945.0,209240
946.0,209442
947.0,209572
948.0,209752
949.0,209954
950.0,210156
951.0,210286
952.0,210697
953.0,210951
954.0,211166
955.0,211428
956.0,211616
957.0,211901
958.0,212118
959.0,212305
960.0,212649
961.0,213039
962.0,213172
963.0,213364
964.0,213579
965.0,213769
966.0,213957
967.0,214241
968.0,214429
969.0,214681
970.0,215091
971.0,215440
972.0,215499
973.0,215704
974.0,215987
975.0,216409
976.0,218573
977.0,218782
978.0,219180
979.0,219311
980.0,219484
981.0,219622
982.0,219759
983.0,219873
984.0,220348
985.0,220530
986.0,220731
987.0,221006
988.0,221064
989.0,221201
990.0,221405
991.0,221462
992.0,221644
993.0,222084
994.0,222358
995.0,222619
996.0,222966
997.0,223025
998.0,223361
999.0,223660
1000.0,424376
1001.0,424488
1002.0,426334
1003.0,426547
1004.0,426970
1005.0,427175
1006.0,427512
1007.0,427799
1008.0,428011
1009.0,428144
1010.0,428279
1011.0,428564
1012.0,428919
1013.0,429103
1014.0,429301
1015.0,429417
1016.0,429821
1017.0,429931
1018.0,430068
1019.0,430126
1020.0,430269
1021.0,430328
1022.0,430441
1023.0,430651
1024.0,430791
1025.0,430928
1026.0,430988
1027.0,431205
1028.0,431261
1029.0,431502
1030.0,431638
1031.0,431986
1032.0,432179
1033.0,432363
1034.0,432422
1035.0,432482
1036.0,432592
1037.0,432802
1038.0,433002
1039.0,433296
1040.0,433497
1041.0,433557
1042.0,433617
1043.0,433672
1044.0,433727
1045.0,433782
1046.0,433842
1047.0,433902
1048.0,433961
1049.0,434016
1050.0,434075
1051.0,434133
1052.0,434189
1053.0,434248
1054.0,434307
1055.0,434363
1056.0,434421
1057.0,434476
1058.0,434535
1059.0,434590
1060.0,434646
1061.0,434701
1062.0,434756
1063.0,434811
1064.0,434870
1065.0,434925
1066.0,434981
1067.0,435040
1068.0,435098
1069.0,435153
1070.0,435208
1071.0,435266
1072.0,435326
1073.0,435386
1074.0,435446
1075.0,435501
1076.0,435556
1077.0,435611
1078.0,435667
1079.0,435723
1080.0,435781
1081.0,435836
1082.0,435891
1083.0,435950
1084.0,436006
1085.0,436066
1086.0,436126
1087.0,436185
1088.0,436245
1089.0,436304
1090.0,436364
1091.0,436419
1092.0,436478
1093.0,436534
1094.0,436592
1095.0,436652
1096.0,436707
1097.0,436762
1098.0,436822
1099.0,436882
1100.0,436940
1101.0,436998
1102.0,437053
1103.0,437111
1104.0,437171
1105.0,437227
1106.0,437282
1107.0,437341
1108.0,437401
1109.0,437460
1110.0,437518
1111.0,437578
1112.0,437633
1113.0,437688
1114.0,437748
1115.0,437806
1116.0,437866
1117.0,437921
1118.0,437977
1119.0,438037
1120.0,438093
1121.0,438153
1122.0,438208
1123.0,438263
1124.0,438318
1125.0,438377
1126.0,438435
1127.0,438490
1128.0,438550
1129.0,438605
1130.0,438665
1131.0,438724
1132.0,438784
1133.0,438843
1134.0,438902
1135.0,438960
1136.0,439018
1137.0,439076
1138.0,439134
1139.0,439194
1140.0,439254
1141.0,439310
1142.0,439368
1143.0,439426
1144.0,439481
1145.0,439540
1146.0,439599
1147.0,439657
1148.0,439716
1149.0,439772
1150.0,439828
1151.0,439884
1152.0,439940
1153.0,439999
1154.0,440054
1155.0,440109
1156.0,440164
1157.0,440220
1158.0,440279
1159.0,440334
1160.0,440394
1161.0,440449
1162.0,440508
1163.0,440568
1164.0,440628
1165.0,440687
1166.0,440742
1167.0,440797
1168.0,440856
1169.0,440911
1170.0,440971
1171.0,441031
1172.0,441087
1173.0,441146
1174.0,441201
1175.0,441259
1176.0,441319
1177.0,441377
1178.0,441433
1179.0,441492
1180.0,441548
1181.0,441607
1182.0,441663
1183.0,441719
1184.0,441775
1185.0,441831
1186.0,441886
1187.0,441941
